code,name,source,months,weight_pct,qoq_pct,contribution_pp
CPIQ.SE908100,Postal services,seasonal,0,0.10436981026377726,0.45085662759243306,0.0004705582067798872
CPIQ.SE911102,Electrical appliances for personal care,seasonal,0,0.03008137051644285,1.5544041450777257,0.0004675860702037765
CPIQ.SE903106,Knitting and sewing supplies,seasonal,0,0.08206053332277342,0.4262574595055524,0.00034978914459836126
CPIQ.SE911302,Other personal effects,seasonal,0,0.11354295098544888,0.304878048780477,0.0003461675334922099
CPIQ.SE905102,Carpets and other floor coverings,seasonal,0,0.34644866058499507,-0.08396305625524292,-0.000290888883782515
CPIQ.SE905400,"Glassware, tableware, and household utensils",seasonal,0,0.23806874798133817,-0.09950248756218638,-0.00023688432634958386
CPIQ.SE905303,Repair and hire of household appliances,seasonal,0,0.06332960661100091,0.34662045060658286,0.00021951336780242766
CPIQ.SE911501,Credit services,seasonal,0,0.16192474119783629,-0.11560693641619046,-0.00018719623259866354
CPIQ.SE902200,Cigarettes and tobacco,spi,2,1.9026464790548168,0.008708631939779998,0.00016569447897606733
CPIQ.SE901306,Other grocery food,spi,2,0.7807299320638734,0.018850124771963017,0.00014716856632610224
CPIQ.SE903204,Children's and infants' footwear,seasonal,0,0.1583106272550938,-0.09090909090908594,-0.0001439187520500774
CPIQ.SE904401,Water supply,seasonal,0,0.3205653684012729,0.0,0.0
CPIQ.SE904403,Local authority rates and payments,seasonal,0,3.24216896455108,0.0,0.0
CPIQ.SE909103,Recording media,seasonal,0,0.07239920048914061,0.0,0.0
CPIQ.SE907301,Rail passenger transport,seasonal,0,0.1044151128220673,0.0,0.0
CPIQ.SE910300,Tertiary and other post-school education,seasonal,0,0.5515435433038777,0.0,0.0
CPIQ.SE910200,Primary and secondary education,seasonal,0,0.6200848945092045,0.0,0.0
CPIQ.SE910100,Early childhood education,seasonal,0,0.36466604538162567,0.0,0.0
CPIQ.SE910400,Other education,seasonal,0,0.02061276696388981,0.0,0.0
