ingredient,tier,n_regulators_in_window,regulators,most_recent_approval,example_brands,applicants
arsenic trioxide,B: confirm date(s),1,FDA(2023-04-20); HSA(no-date),2023-04-20,ARSENIC TRIOXIDE; ARSENIC TRIOXIDE-AFT CONCENTRATED SOLUTION FOR INJECTION FOR INFUSION 10MG/10ML,Kocak Farma Ilac ve Kimya Sanyi A.S. (Sterile Building 2); MSN
thalidomide,B: confirm date(s),1,FDA(2023-04-27); HSA(no-date),2023-04-27,DOMIDE CAPSULES 50mg; THALIDOMIDE,NATCO; TTY Biopharm Company Limited Chungli Factory
tirofiban,B: confirm date(s),1,FDA(2023-05-01); HSA(no-date),2023-05-01,AGGRASTAT CONCENTRATE FOR INFUSION 0.25 mg/ml; TIROFIBAN HYDROCHLORIDE,EUGIA PHARMA; Patheon Manufacturing Services LLC
propylthiouracil,B: confirm date(s),1,FDA(2023-05-10); HSA(no-date),2023-05-10,PROPYL TABLET 50 mg; PROPYLTHIOURACIL,MACLEODS PHARMS LTD; SRIPRASIT PHARMA CO LTD
fezolinetant,B: confirm date(s),1,FDA(2023-05-12); HSA(no-date),2023-05-12,VEOZAH; VEOZA™ FILM-COATED TABLETS 45 MG,ASTELLAS; Astellas Pharma Inc. (Yaizu Technology Center)&&Bushu Pharmaceuticals Ltd. (Misato Factory)
eplerenone,B: confirm date(s),1,FDA(2023-06-02); HSA(no-date),2023-06-02,EPLERENONE; EPLERENONE MEVON FILM-COATED TABLETS 25 MG,ANNORA PHARMA; Pharmathen S.A.
medroxyprogesterone,B: confirm date(s),1,FDA(2023-06-07); HSA(no-date),2023-06-07,DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 mg/ml; MEDROXYPROGESTERONE ACETATE,AMNEAL; PFIZER MANUFACTURING BELGIUM NV
fulvestrant,B: confirm date(s),1,FDA(2023-06-30); HSA(no-date),2023-06-30,FULVESTRANT; Faslodex Solution For Injection 250 mg/5ml,EUGIA PHARMA; Vetter Pharma-Fertigung GmbH and Co. KG
naltrexone,B: confirm date(s),1,FDA(2023-07-06); HSA(no-date),2023-07-06,NALTREXONE; NARPAN TABLET 50 mg,DUOPHARMA (M) SDN BHD; TEVA PHARMS USA INC
azithromycin,B: confirm date(s),1,FDA(2023-07-27); HSA(no-date),2023-07-27,AZITHROMYCIN; ZITHROMAX POWDER FOR ORAL SUSPENSION 200 mg/5 ml,HAUPT PHARMA LATINA SRL; ZHEJIANG POLY PHARM
tobramycin,B: confirm date(s),1,FDA(2023-07-27); HSA(no-date),2023-07-27,TOBRAMYCIN; TOBREX STERILE OPHTHALMIC OINTMENT 0.3%,MICRO LABS; Novartis Manufacturing NV
brinzolamide,B: confirm date(s),1,FDA(2023-07-28); HSA(no-date),2023-07-28,AZOPT OPHTHALMIC SUSPENSION 1%; BRINZOLAMIDE,Novartis Manufacturing NV; PADAGIS US
fluocinolone acetonide,B: confirm date(s),1,FDA(2023-08-07); HSA(no-date),2023-08-07,FLUOCINOLONE ACETONIDE; SUPRICORT CREAM 0.025% w/w,GLENMARK PHARMACEUTICALS LTD; NOVEL LABS INC
elranatamab,B: confirm date(s),1,FDA(2023-08-14); HSA(no-date),2023-08-14,ELREXFIO; ELREXFIO SOLUTION FOR INJECTION 44 MG/1.1 ML,PFIZER INC; Pharmacia & Upjohn Company LLC
nortriptyline,B: confirm date(s),1,FDA(2023-08-15); HSA(no-date),2023-08-15,APO-NORTRIPTYLINE CAPSULE 25 mg; NORTRIPTYLINE HYDROCHLORIDE,APOTEX INC; RUBICON RESEARCH
aflibercept,B: confirm date(s),1,FDA(2023-08-18); HSA(no-date),2023-08-18,EYLEA HD; EYLEA SOLUTION FOR INJECTION IN VIAL 2MG,"REGENERON PHARMACEUTICALS; Vetter Pharma-Fertigung GmbH & Co. KG (Langenargen)&&Bayer AG (Berlin)&&Regeneron Pharmaceuticals, Inc.&&Vetter Pharma-Fertigung GmbH & Co. KG (Ravensburg)"
sevoflurane,B: confirm date(s),1,FDA(2023-08-18); HSA(no-date),2023-08-18,SEVOFLURANE; SEVORANE INHALATION,AbbVie S.r.l.; SHANDONG
morphine,B: confirm date(s),1,FDA(2023-08-21); HSA(no-date),2023-08-21,DBL MORPHINE SULFATE INJECTION 10 mg/ml; MORPHINE SULFATE,SPECGX LLC; Siegfried Hameln GmbH
